admin_code;not_null;ipc_1;ipc_2;ipc_3;ipc_4;ipc_5;ipc_2_plus;ipc_3_plus;ipc_4_plus;ipc_1_pct;ipc_2_pct;ipc_3_pct;ipc_4_pct;ipc_5_pct;ipc_2_plus_pct;ipc_3_plus_pct;ipc_4_plus_pct
0;22;;7;12;3;;22;15;3;0;0.318181818;0.545454545;0.136363636;0;1;0.681818182;0.136363636
1;22;;12;8;2;;22;10;2;0;0.545454545;0.363636364;0.090909091;0;1;0.454545455;0.090909091
2;22;1;7;10;4;;21;14;4;0.045454545;0.318181818;0.454545455;0.181818182;0;0.954545455;0.636363636;0.181818182
3;22;;6;13;3;;22;16;3;0;0.272727273;0.590909091;0.136363636;0;1;0.727272727;0.136363636
4;22;;5;8;9;;22;17;9;0;0.227272727;0.363636364;0.409090909;0;1;0.772727273;0.409090909
5;22;;5;9;8;;22;17;8;0;0.227272727;0.409090909;0.363636364;0;1;0.772727273;0.363636364
6;22;;5;12;5;;22;17;5;0;0.227272727;0.545454545;0.227272727;0;1;0.772727273;0.227272727
7;22;;4;12;6;;22;18;6;0;0.181818182;0.545454545;0.272727273;0;1;0.818181818;0.272727273
8;22;;9;8;5;;22;13;5;0;0.409090909;0.363636364;0.227272727;0;1;0.590909091;0.227272727
9;22;;;15;7;;22;22;7;0;0;0.681818182;0.318181818;0;1;1;0.318181818
10;22;;;19;3;;22;22;3;0;0;0.863636364;0.136363636;0;1;1;0.136363636
11;22;;8;12;2;;22;14;2;0;0.363636364;0.545454545;0.090909091;0;1;0.636363636;0.090909091
12;22;2;6;11;3;;20;14;3;0.090909091;0.272727273;0.5;0.136363636;0;0.909090909;0.636363636;0.136363636
13;22;;;9;13;;22;22;13;0;0;0.409090909;0.590909091;0;1;1;0.590909091
14;22;;4;12;6;;22;18;6;0;0.181818182;0.545454545;0.272727273;0;1;0.818181818;0.272727273
15;22;;;11;11;;22;22;11;0;0;0.5;0.5;0;1;1;0.5
16;22;5;8;9;;;17;9;0;0.227272727;0.363636364;0.409090909;0;0;0.772727273;0.409090909;0
17;22;;;16;6;;22;22;6;0;0;0.727272727;0.272727273;0;1;1;0.272727273
18;22;;2;15;5;;22;20;5;0;0.090909091;0.681818182;0.227272727;0;1;0.909090909;0.227272727
19;22;;7;11;4;;22;15;4;0;0.318181818;0.5;0.181818182;0;1;0.681818182;0.181818182
20;22;1;7;10;4;;21;14;4;0.045454545;0.318181818;0.454545455;0.181818182;0;0.954545455;0.636363636;0.181818182
21;22;;1;8;13;;22;21;13;0;0.045454545;0.363636364;0.590909091;0;1;0.954545455;0.590909091
22;22;5;14;2;1;;17;3;1;0.227272727;0.636363636;0.090909091;0.045454545;0;0.772727273;0.136363636;0.045454545
23;22;2;6;12;2;;20;14;2;0.090909091;0.272727273;0.545454545;0.090909091;0;0.909090909;0.636363636;0.090909091
24;22;3;3;15;1;;19;16;1;0.136363636;0.136363636;0.681818182;0.045454545;0;0.863636364;0.727272727;0.045454545
25;22;1;7;13;1;;21;14;1;0.045454545;0.318181818;0.590909091;0.045454545;0;0.954545455;0.636363636;0.045454545
26;22;4;4;12;2;;18;14;2;0.181818182;0.181818182;0.545454545;0.090909091;0;0.818181818;0.636363636;0.090909091
27;22;;6;11;5;;22;16;5;0;0.272727273;0.5;0.227272727;0;1;0.727272727;0.227272727
