id;Country_size;Country;WB_region;ls_intensity;fl_intensity;Pop_ls_safe_2010;Pop_ls_risk_2010;Pop_flood_safe_2010;Pop_flood_risk_2010;Pop_ls_safe_2100;Pop_ls_risk_2100;Pop_flood_safe_2100;Pop_flood_risk_2100;Pop_ls_safe_2050;Pop_ls_risk_2050;Pop_fl_risk_2050;Pop_fl_safe_2050
0;28189660;Afghanistan;South Asia;0.224636783;0.030598987;23268870;4920790;25093055;3096605;77262500;24222800;87272910;14212390;52700000;14700000;9010206;58389794
1;23205968.8;Angola;Sub-Saharan Africa;0.000586035;0.018159742;23199399.5;6569.3;22934442.9;271525.9;67040836;21110.3;65783604.3;1278342;51739732;15254.3;876183.8;50878802.5
2;2899537;Albania;Europe and Central Asia;0.466555222;0.049404748;2508167;391370;2762204.7;137332.3;1885337;218388;2022086.6;81638.4;2523291;354389;135830.4;2741849.6
3;0;Andorra;Europe and Central Asia;0.053221289;0;0;0;0;0;0;0;0;0;0;0;0;0
4;8206686;United Arab Emirates;Middle East and North Africa;0.023399541;0.003487575;8101556;105130;8201870.4;4815.6;17394476;360103;17738083.8;16495.2;18070691;364575;16700.1;18418565.9
5;40292204.7;Argentina;Latin America and Caribbean;0.017678296;0.094662368;40224062;68142.7;34657556.5;5634648.2;46393328;89813.7;39814345.7;6668796;49174737;94898.7;7042407;42227228.7
6;2935490;Armenia;Europe and Central Asia;0.203603187;0.024413905;2665339;270151;2638799.3;296690.7;1553598;126870;1503694;176774;2251667;212926;248718.8;2215874.2
7;0;Antigua and Barbuda;Latin America and Caribbean;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;21688813.7;Australia;East Asia and Pacific;0.001547118;0.046712885;21619002;69811.7;21101486.2;587327.5;40092220;245143;38891055;1446308;34150653;169039;1190126;33129566
9;8363398;Austria;Europe and Central Asia;0.356149584;0.03234072;7174658;1188740;6990404;1372994;7075812;1042480;6717690;1400602;7903251;1280000;1509298;7673953
10;9054329;Azerbaijan;Europe and Central Asia;0.156782162;0.127335242;8722872;331457;8300113.6;754215.4;8837677;319141;8421218.2;735599.8;10433903;408056;929250.7;9912708.3
11;9085140;Burundi;Sub-Saharan Africa;0.104114502;0.079853827;8212310;872830;9024368.2;60771.8;18864600;1625250;20320990.3;168859.7;16480000;1720000;144678.9;18055321.1
12;10886035;Belgium;Europe and Central Asia;0.020737655;0.033963473;10704275;181760;10127533.6;758501.4;12907403;226083;12254843.9;878642.1;12625094;219948;865676.7;11979365.3
