ZoneId;WB Region;Country;ls_intensity;fl_intensity;Country_size;urb_ls_safe_2010;urb_ls_risk_2010;urb_fl_safe_2010;urb_fl_risk_2010;urb_ls_safe_2100;urb_ls_risk_2100;urb_fl_safe_2100;urb_fl_risk_2100;Pop_ls_risk_2010;Pop_flood_risk_2010
Afghanistan;South Asia;Afghanistan;0.224636783;0.030598987;28189660;586;0;413;173;5751;155;5308;598;4920790;3096605
Angola;Sub-Saharan Africa;Angola;0.000586035;0.018159742;23205968.8;932;0;925;7;4410;0;4327;83;6569.3;271525.9
Albania;Europe and Central Asia;Albania;0.466555222;0.049404748;2899537;236;11;230;17;287;17;286;18;391370;137332.3
Andorra;Europe and Central Asia;Andorra;0.053221289;0;0;0;0;0;0;0;0;0;0;0;0
United Arab Emirates;Middle East and North Africa;United Arab Emirates;0.023399541;0.003487575;8206686;292;0;292;0;780;0;780;0;105130;4815.6
Argentina;Latin America and Caribbean;Argentina;0.017678296;0.094662368;40292204.7;5653;0;5041;612;8930;5;8066;869;68142.7;5634648.2
Armenia;Europe and Central Asia;Armenia;0.203603187;0.024413905;2935490;364;6;318;52;330;5;293;42;270151;296690.7
Antigua and Barbuda;Latin America and Caribbean;Antigua and Barbuda;0;0;0;0;0;0;0;0;0;0;0;0;0
Australia;East Asia and Pacific;Australia;0.001547118;0.046712885;21688813.7;12718;8;12344;382;28046;255;27672;629;69811.7;587327.5
Austria;Europe and Central Asia;Austria;0.356149584;0.03234072;8363398;1970;89;1611;448;2703;189;2225;667;1188740;1372994
Azerbaijan;Europe and Central Asia;Azerbaijan;0.156782162;0.127335242;9054329;1185;9;1161;33;2079;37;2050;66;331457;754215.4
Burundi;Sub-Saharan Africa;Burundi;0.104114502;0.079853827;9085140;181;6;185;2;1868;95;1947;16;872830;60771.8
Belgium;Europe and Central Asia;Belgium;0.020737655;0.033963473;10886035;5055;70;4663;462;6347;95;5874;568;181760;758501.4
Benin;Sub-Saharan Africa;Benin;0.000988019;0.035576015;9358589.9;679;1;505;175;3223;1;2918;306;23503.8;998735.6
Burkina Faso;Sub-Saharan Africa;Burkina Faso;8.51E-05;0.020669085;16116857.8;529;0;529;0;6686;1;6680;7;0;328095.5
Bangladesh;South Asia;Bangladesh;0.043622159;0.451070009;148182393;533;0;336;197;2079;8;1534;553;165370;67865027
Bulgaria;Europe and Central Asia;Bulgaria;0.029496565;0.024467845;7359485;1379;18;1336;61;1341;18;1308;51;202767;316894.8
Bahrain;Middle East and North Africa;Bahrain;0;0;889015;184;0;184;0;779;0;779;0;0;0
Bahamas;Latin America and Caribbean;Bahamas;0;0;336338;76;0;76;0;119;0;119;0;0;0
Bosnia and Herzegovina;Europe and Central Asia;Bosnia and Herzegovina;0.167023141;0.028856262;3810517;216;13;213;16;253;19;255;17;526268;361794.9
Belarus;Europe and Central Asia;Belarus;0;0.040906232;9483837;1138;0;1101;37;1064;0;1045;19;0;476563
Belize;Latin America and Caribbean;Belize;0.043069196;0.017392608;297962.5;8;0;8;0;20;0;20;0;92;5009.9
Bolivia;Latin America and Caribbean;Bolivia;0.081795482;0.108731955;10218018;477;41;512;6;1027;126;1147;6;1317910;378532.9
Brazil;Latin America and Caribbean;Brazil;0.00275174;0.075557019;194935420;17368;115;16860;623;22110;230;21583;757;2151090;9891760
Barbados;Latin America and Caribbean;Barbados;0.02480916;0;264050.9;63;0;63;0;86;0;86;0;1409.6;0
Brunei;East Asia and Pacific;Brunei;0.15640648;0.011782032;393308.7;115;1;102;14;306;18;304;20;16944.7;30268.6
Bhutan;South Asia;Bhutan;0.383500409;0.008008217;705516;0;0;0;0;0;0;0;0;365033;13784.8
Botswana;Sub-Saharan Africa;Botswana;1.52E-05;0.028614997;2088516.7;335;0;334;1;814;0;813;1;0;49185.7
Central African Republic;Sub-Saharan Africa;Central African Republic;0.0003491;0.034131062;4660062.3;174;0;161;13;851;0;814;37;43.5;392627.5
Canada;North America;Canada;0.015739097;0.072512725;30928098.3;11695;7;10580;1122;24976;24;22244;2756;67944.3;2601354
Switzerland;Europe and Central Asia;Switzerland;0.486781073;0.032454944;7807225;1810;210;1849;171;3134;388;3252;270;1442380;432374.9
Chile;Latin America and Caribbean;Chile;0.141578473;0.006412091;16858512;1732;112;1655;189;2164;123;2084;203;807412;625907.9
China;East Asia and Pacific;China;0.098360281;0.058879265;1335508500;84447;498;65334;19611;109105;965;85812;24258;46289500;251432800
Côte d_Ivoire;Sub-Saharan Africa;Côte d_Ivoire;0.001107192;0.02542851;21060259.6;1525;2;1492;35;5588;3;5444;147;28549.6;489335.4
Cameroon;Sub-Saharan Africa;Cameroon;0.014188957;0.044900254;19847616;731;4;704;31;2495;52;2401;146;206681;1353067
Democratic Republic of the Congo;Sub-Saharan Africa;Democratic Republic of the Congo;0.004808396;0.043249991;65460029;2430;25;2291;164;17086;323;16816;593;999229;3506284
Republic of the Congo;Sub-Saharan Africa;Republic of the Congo;0.001026852;0.078093579;4322650.6;393;1;355;39;1401;4;1292;113;1752.9;794041.3
Colombia;Latin America and Caribbean;Colombia;0.154995159;0.085948624;44559800;1602;96;1632;66;2822;167;2847;142;5269840;2610106
Comoros;Sub-Saharan Africa;Comoros;0.001513623;0;583171.5;8;0;8;0;17;0;17;0;1879.9;0
Cabo Verde;Sub-Saharan Africa;Cabo Verde;0.004349627;0;447070.3;11;0;11;0;20;0;20;0;969.8;0
Costa Rica;Latin America and Caribbean;Costa Rica;0.511009658;0.028100999;4594932;325;116;441;0;734;195;929;0;1646050;36408.2
Cyprus;Europe and Central Asia;Cyprus;0.103977944;0;1073309.8;219;1;220;0;393;1;394;0;20333.2;0
Czechia;Europe and Central Asia;Czechia;0.027778564;0.01352843;10474418;2777;24;2622;179;4252;66;4115;203;269338;448599.7
