SSP;Flood depth;East Asia and Pacific;Europe and Central Asia;Latin America and Caribbean;Middle East and North Africa;North America;South Asia;Sub-Saharan Africa
SSP1;Up to 1m;-0.153174089;-0.06788197;-0.078255952;0.125470058;0.186030593;-0.032253923;0.256826348
SSP2;Up to 1m;-0.112647711;-0.011819254;0.066910004;0.37744074;0.182410356;0.143242587;0.509272255
SSP3;Up to 1m;-0.04138874;0.030790333;0.364892169;0.863709333;-0.061287483;0.529041511;0.945881914
SSP4;Up to 1m;-0.162351898;-0.091733031;-0.016852059;0.39016113;0.068735776;0.16711269;1.030859375
SSP5;Up to 1m;-0.149752192;-0.010946858;-0.102562566;0.101483393;0.494472518;-0.042087195;0.244075227
SSP1;Above 1m;-0.318661176;-0.1352375;-0.196523239;0.102075507;0.429392647;-0.100785775;0.622146618
SSP2;Above 1m;-0.218245409;-0.045294005;0.113436358;0.481551675;0.423409537;0.203223456;1.361152908
SSP3;Above 1m;-0.038544933;-0.03578978;0.916401304;1.37751879;-0.12063504;0.894518459;2.937808935
SSP4;Above 1m;-0.283914518;-0.174812291;-0.038902376;0.550602137;0.159873197;0.239587384;3.141976091
SSP5;Above 1m;-0.30894082;0.0035277;-0.240353918;0.073102698;1.195879013;-0.119632736;0.589286076
