"id";"ZoneId";"SSP";"Year";"avg_prev_14t21";"p5_class";"tot_ls_none";"tot_ls_low";"tot_ls_medium";"tot_ls_high";"tot_fl_1cmto1m";"tot_fl_1mto2_5m";"tot_fl_2_5mto5m";"tot_fl_5mto10m";"tot_fl_10mplus"
0;Afghanistan;SSP1;2010;17.8;17;1.12139E+07;8.26126E+06;3.79371E+06;4.92079E+06;1.33799E+06;540141;477695;320320;420459
1;Angola;SSP1;2010;25.0333;18;2.20189E+07;1.11965E+06;60849.5;6569.3;63826.6;31506.5;76911.3;85964;13317.5
2;Albania;SSP1;2010;9.66667;12;1.07276E+06;1.06484E+06;370567;391370;106181;12182.7;6843.7;6998;5126.9
3;Andorra;SSP1;2010;0.95;2;0;0;0;0;0;0;0;0;0
4;United Arab Emirates;SSP1;2010;0.766667;1;2.35265E+06;5.53582E+06;213086;105130;4188.7;385;7.6;234.3;0
5;Argentina;SSP1;2010;10.6833;12;3.83936E+07;1.6894E+06;141062;68142.7;3.30517E+06;1.26417E+06;771329;215976;78003.2
6;Armenia;SSP1;2010;1.15;3;43154;1.887E+06;735185;270151;231331;30630;10442.8;3712.8;20574.1
7;Antigua and Barbuda;SSP1;2010;6.88333;9;0;0;0;0;0;0;0;0;0
8;Australia;SSP1;2010;3.41667;7;1.8998E+07;2.2981E+06;322902;69811.7;209227;130005;89558.3;86419.4;72117.8
9;Austria;SSP1;2010;1.11667;3;5.19876E+06;1.30459E+06;671308;1.18874E+06;330797;383416;329970;153201;175610
10;Azerbaijan;SSP1;2010;0.1;0;3.60718E+06;4.34604E+06;769652;331457;427278;184706;65579.1;45334.2;31318.1
11;Burundi;SSP1;2010;16;16;3.52668E+06;3.32142E+06;1.36421E+06;872833;41161;3501.9;12204.2;3888;0
12;Belgium;SSP1;2010;1.2;3;9.92441E+06;582836;197039;181750;286553;215474;124998;54969.1;76505.2
13;Benin;SSP1;2010;13.2833;14;9.14957E+06;130255;55261.1;23503.8;644255;180344;79751.7;82905.4;11479.1
14;Burkina Faso;SSP1;2010;13.1833;14;1.60188E+07;80107;17950.8;0;37262.4;75710.7;58541.6;137067;19513.8
15;Bangladesh;SSP1;2010;11.5167;13;1.25772E+08;2.14393E+07;805613;165368;1.84045E+07;2.37861E+07;2.2058E+07;3.00543E+06;610601
16;Bulgaria;SSP1;2010;2.26667;5;4.41624E+06;2.29935E+06;441128;202767;116947;52862.1;81145.2;37495.7;28444.8
17;Bahrain;SSP1;2010;5.68333;8;888979;36;0;0;0;0;0;0;0
18;Bahamas;SSP1;2010;3.36667;6;336338;0;0;0;0;0;0;0;0
19;Bosnia and Herzegovina;SSP1;2010;1.81667;4;1.60242E+06;1.11413E+06;568256;525703;133570;54439.9;41901.9;36058.3;95644.8
20;Belarus;SSP1;2010;10.7;13;9.47666E+06;7176;0;0;120621;86972.8;83187.2;95923;89856.2
21;Belize;SSP1;2010;6.18333;9;235120;60603;2147.5;92;37.1;1168.1;392.1;1390;2022.6
22;Bolivia;SSP1;2010;11.95;14;6.02302E+06;1.99012E+06;886968;1.31791E+06;122502;60146.6;77101.2;50828.1;67955
23;Brazil;SSP1;2010;2.96667;6;1.53161E+08;3.21146E+07;7.50873E+06;2.15109E+06;1.85184E+06;1.63069E+06;1.93371E+06;2.04775E+06;2.42777E+06
24;Barbados;SSP1;2010;7.25;10;234465;22461;5715.3;1409.6;0;0;0;0;0
25;Brunei;SSP1;2010;3.56667;7;102256;214062;60046;16944.7;14979.5;7785.6;7503.5;0;0
26;Bhutan;SSP1;2010;13.8333;15;150;69440;270893;365033;177.3;116.7;706.6;4673.2;8111
